Argument ID	Conclusion	Stance	Premise	Achievement	Power: dominance	Power: resources
A12319	We should abolish the three-strikes laws	against	['we', 'shouldnt', 'abolish', 'the', 'three', 'strikes', 'law', 'because', 'it', 'is', 'necessary', 'to', 'ensure', 'society', 'understands', 'the', 'ramifications', 'of', 'repeated', 'ill', 'behavior', 'three', 'felonies', 'is', 'just', 'about', 'enough', 'as', 'far', 'as', 'im', 'concerned']	0	1	0
A12332	We should limit executive compensation	against	['an', 'executive', 'has', 'worked', 'hard', 'to', 'get', 'to', 'that', 'position', 'through', 'study', 'and', 'prior', 'work', 'experience', 'they', 'should', 'be', 'compensated', 'for', 'their', 'value', 'to', 'the', 'company']	1	1	1
A12334	We should adopt an austerity regime	against	['austerity', 'regimes', 'hurt', 'the', 'common', 'man', 'by', 'reducing', 'support', 'for', 'schools', 'and', 'health', 'care']	1	1	1
A12358	We should abolish capital punishment	against	['If', 'capital', 'punishment', 'is', 'unfairly', 'applied', 'we', 'should', 'focus', 'on', 'fixing', 'that', 'not', 'abolishing', 'it', 'entirely']	1	1	0
A12381	We should subsidize journalism	against	['it', 'could', 'become', 'partial', 'to', 'whoever', 'pays']	0	1	0
A12386	We should end the use of economic sanctions	against	['economic', 'sanctions', 'can', 'help', 'force', 'countries', 'to', 'provide', 'better', 'treatment', 'for', 'the', 'common', 'people', 'of', 'that', 'country']	0	1	0
A12392	We should end the use of economic sanctions	against	['economic', 'sanctions', 'can', 'help', 'control', 'financial', 'situations']	1	1	1
A12398	We should end the use of economic sanctions	against	['economic', 'sanctions', 'do', 'help', 'western', 'countries', 'to', 'avoid', 'the', 'spread', 'of', 'terrorism']	0	1	0
A12468	We should abolish the right to keep and bear arms	against	['everyone', 'should', 'have', 'the', 'right', 'to', 'keep', 'and', 'bear', 'arms', 'for', 'protection']	0	1	0
A14006	We should ban factory farming	against	['factory', 'farming', 'is', 'an', 'efficient', 'way', 'to', 'grow', 'mass', 'amounts', 'of', 'food', 'for', 'the', 'food', 'supply', 'chain', 'it', 'pushes', 'innovation', 'and', 'makes', 'farming', 'more', 'efficient', 'and', 'safer', 'outcomes', 'for', 'the', 'food', 'supply']	1	1	0
A14007	We should subsidize embryonic stem cell research	against	['we', 'should', 'not', 'subsidize', 'embryonic', 'stem', 'cell', 'research', 'as', 'that', 'is', 'done', 'by', 'private', 'companies', 'and', 'they', 'can', 'raiser', 'their', 'own', 'money']	0	1	0
A15019	We should legalize cannabis	against	['cannabis', 'use', 'has', 'been', 'linked', 'to', 'mental', 'problems', 'in', 'youth', 'and', 'shouldnt', 'be', 'legalized']	0	1	0
A17002	We should adopt a zero-tolerance policy in schools	against	['schools', 'already', 'have', 'systems', 'and', 'hierarchies', 'there', 'is', 'no', 'need', 'to', 'employ', 'further', 'policies']	0	1	0
A17003	We should cancel pride parades	against	['thepride', 'parades', 'are', 'part', 'of', 'the', 'empowerment', 'of', 'the', 'lgbt', 'community']	1	1	0
A18007	We should introduce compulsory voting	against	['voting', 'should', 'be', 'a', 'choice', 'for', 'every', 'person']	0	1	0
A18018	We should adopt a multi-party system	against	['it', 'makes', 'a', 'mockery', 'of', 'voting', 'for', 'your', 'political', 'party', 'of', 'choice', 'if', 'the', 'end', 'result', 'is', 'a', 'multi-party', 'system', 'which', 'will', 'lead', 'to', 'people', 'not', 'voting', 'if', 'they', 'feel', 'they', 'do', 'not', 'have', 'a', 'say']	0	1	0
A18036	We should abolish capital punishment	against	['capital', 'punishment', 'is', 'absolutely', 'needed', 'it', 'acts', 'as', 'a', 'deterrent', 'to', 'prevent', 'future', 'crime', 'if', 'a', 'person', 'knows', 'they', 'can', 'be', 'killed', 'for', 'their', 'crime', 'it', 'deters', 'them', 'and', 'also', 'makes', 'sure', 'they', 'arent', 'released', 'from', 'prison']	0	1	0
A18045	We should fight for the abolition of nuclear weapons	against	['nuclear', 'weapons', 'provide', 'us', 'security', 'in', 'times', 'of', 'war']	0	1	0
A18083	We should fight for the abolition of nuclear weapons	against	['we', 'must', 'not', 'abolish', 'nuclear', 'weapons', 'because', 'they', 'can', 'be', 'used', 'in', 'situations', 'of', 'extreme', 'need', 'like', 'defending', 'a', 'country']	0	1	0
A18096	We should abolish the right to keep and bear arms	against	['the', 'right', 'to', 'keep', 'and', 'bear', 'arms', 'is', 'important', 'in', 'keeping', 'people', 'safe', 'in', 'a', 'dangerous', 'and', 'uncertain', 'world']	0	1	0
A18121	We should ban targeted killing	against	['Targeted', 'killing', 'surgically', 'removes', 'enemy', 'actors', 'with', 'no', 'collateral', 'damage', 'it', 'must', 'be', 'continued']	1	1	0
A18197	We should abolish the Olympic Games	against	['promotes', 'peace', 'and', 'sportsmanship', 'amongst', 'countries']	1	1	0
A18241	We should ban whaling	against	['We', 'should', 'not', 'ban', 'whaling', 'because', 'it', 'is', 'important', 'to', 'many', 'aboriginal', 'cultures', 'in', 'the', 'arctic', 'and', 'it', 'is', 'wrong', 'for', 'the', 'governments', 'of', 'countries', 'like', 'Canada', 'and', 'Russia', 'to', 'oppress', 'those', 'peoples']	1	1	0
A18285	We should abolish intellectual property rights	against	['somebody', 'was', 'working', 'hard', 'to', 'make', 'something', 'and', 'then', 'should', 'be', 'rewarded', 'for', 'it', 'that`s', 'what', 'intellectual', 'property', 'rights', 'all', 'about']	1	1	0
A18296	We should abolish the right to keep and bear arms	against	['people', 'should', 'be', 'able', 'to', 'keep', 'weapons', 'as', 'a', 'form', 'self', 'defence', 'to', 'defend', 'their', 'property', 'and', 'themselves']	0	1	0
A18297	We should adopt an austerity regime	against	['absolutely', 'not', 'the', 'great', 'president', 'donald', 'trump', 'is', 'turning', 'the', 'country', 'around', 'and', 'saving', 'us', 'from', 'the', 'financial', 'disaster', 'that', 'the', 'last', 'eight', 'years', 'were', 'leading', 'the', 'united', 'states', 'towards']	1	1	1
A18331	We should end the use of economic sanctions	against	['its', 'the', 'only', 'way', 'to', 'send', 'a', 'hard', 'message']	0	1	0
A18334	We should fight for the abolition of nuclear weapons	against	['The', 'risk', 'of', 'nuclear', 'war', 'has', 'made', 'great', 'powers', 'more', 'likely', 'to', 'turn', 'to', 'negotiation', 'and', 'cooperation', 'to', 'settle', 'disputes', 'and', 'abolishing', 'nuclear', 'weapons', 'would', 'make', 'war', 'less', 'costly', 'and', 'more', 'likely']	0	1	0
A18350	We should ban private military companies	against	['military', 'is', 'a', 'big', 'organization', 'that', 'needs', 'private', 'company', 'to', 'supply', 'their', 'needs']	1	1	0
A18355	We should ban factory farming	against	['let', 'the', 'free', 'market', 'decide', 'whether', 'or', 'not', 'we', 'should', 'allow', 'factory', 'farming']	1	1	0
A18384	We should ban missionary work	against	['it', 'helps', 'small', 'third', 'world', 'countries', 'become', 'more', 'modernized']	1	1	0
A18395	We should limit executive compensation	against	['if', 'someone', 'has', 'worked', 'hard', 'to', 'get', 'where', 'they', 'are', 'in', 'a', 'company', 'then', 'they', 'should', 'be', 'rewarded', 'accordingly']	1	1	1
A18409	We should limit judicial activism	against	['it', 'is', 'important', 'that', 'the', 'highly', 'experienced', 'well', 'trained', 'people', 'at', 'the', 'top', 'of', 'the', 'judicial', 'system', 'can', 'use', 'their', 'own', 'experiences', 'and', 'common', 'sense', 'when', 'passing', 'judgments', '-', 'else', 'anyone', 'could', 'be', 'a', 'judge']	0	1	0
A18435	We should prohibit school prayer	against	['the', 'basic', 'message', 'in', 'prayer', 'is', 'universal', 'encouraging', 'people', 'to', 'be', 'considerate', 'and', 'love', 'one', 'another', '-', 'this', 'is', 'a', 'basic', 'message', 'for', 'every', 'child', 'in', 'school', 'irrespective', 'of', 'their', 'religion', 'and', 'should', 'be', 'encouraged']	0	1	0
A19037	We should abolish the three-strikes laws	against	['you', 'can', 'only', 'give', 'someone', 'so', 'many', 'chances', 'if', 'they', 'have', 'not', 'learnt', 'by', 'the', 'third', 'time', 'it', 'is', 'unlikely', 'they', 'will', 'learn', 'at', 'all']	0	1	0
A19054	We should ban cosmetic surgery	against	['we', 'should', 'not', 'ban', 'cosmetic', 'surgery', 'people', 'some', 'people', 'dont', 'like', 'how', 'they', 'look', 'and', 'its', 'their', 'money', 'if', 'they', 'want', 'to', 'change', 'that']	0	1	1
A19070	We should ban missionary work	against	['missionaries', 'are', 'necessary', 'as', 'they', 'provide', 'education', 'health', 'care', 'and', 'more', 'to', 'those', 'in', 'need']	1	1	0
A19099	We should subsidize Wikipedia	against	['wikipedia', 'often', 'contains', 'false', 'information', 'and', 'so', 'can', 'lead', 'to', 'people', 'believing', 'that', 'have', 'no', 'validity', 'in', 'reality']	1	1	0
A19124	We should stop the development of autonomous cars	against	['autonomous', 'cars', 'will', 'provide', 'a', 'way', 'for', 'people', 'who', 'are', 'blind', 'or', 'handicapped', 'a', 'way', 'to', 'travel']	0	1	0
A19126	We should subsidize Wikipedia	against	['if', 'the', 'government', 'gives', 'wikipedia', 'funds', 'wikipedia', 'would', 'be', 'obligated', 'to', 'lean', 'to', 'their', 'agenda']	0	1	0
A19155	We should subsidize Wikipedia	against	['subsidizing', 'wikipedia', 'is', 'unnecessary', 'its', 'isnt', 'in', 'need', 'of', 'a', 'subsidy', 'its', 'doing', 'just', 'fine', 'on', 'its', 'donations', 'theres', 'no', 'staff', 'to', 'pay', 'its', 'all', 'volunteer', 'theres', 'no', 'need', 'to', 'waste', 'funds', 'on', 'this']	0	1	0
A19164	We should subsidize journalism	against	['good', 'journalists', 'already', 'make', 'enough', 'money', 'to', 'survive', 'and', 'their', 'companies', 'dont', 'need', 'to', 'get', 'more', 'money', 'from', 'the', 'government']	1	1	1
A19171	We should ban telemarketing	against	['telemarketing', 'can', 'be', 'a', 'useful', 'tool', 'to', 'bring', 'goods', 'to', 'the', 'attention', 'of', 'people', 'who', 'would', 'not', 'otherwise', 'access', 'the', 'information']	0	1	0
A19177	We should oppose collectivism	against	['collectivism', 'brings', 'people', 'together']	0	1	0
A19184	We should limit judicial activism	against	['judicial', 'activism', 'allows', 'lawful', 'recourse', 'in', 'circumstances', 'of', 'possible', 'justice', 'miscarriages', 'and', 'is', 'an', 'extra', 'protection', 'against', 'possible', 'corruption', 'and', 'obstructive', 'influence', 'in', 'the', 'higher', 'court']	1	1	0
A19185	We should fight for the abolition of nuclear weapons	against	['they', 'are', 'a', 'deterrent', 'for', 'foreign', 'forces', 'not', 'to', 'attack', 'smaller', 'countries']	1	1	0
A19196	We should abandon the use of school uniform	against	['school', 'uniforms', 'help', 'everyone', 'feel', 'more', 'like', 'each', 'other', 'and', 'takes', 'the', 'focus', 'off', 'their', 'clothes', 'and', 'allows', 'for', 'more', 'focus', 'on', 'learning']	1	1	0
A19235	We should adopt a multi-party system	against	['a', 'multi-party', 'system', 'leads', 'to', 'too', 'much', 'division', 'and', 'there', 'may', 'never', 'be', 'an', 'overall', 'consensus']	0	1	0
A19246	We should abolish capital punishment	against	['recent', 'investigations', 'consistently', 'demonstrate', 'a', 'strong', 'link', 'between', 'executions', 'and', 'reduced', 'murder', 'rates']	0	1	0
A19248	We should limit executive compensation	against	['in', 'a', 'competitive', 'market', 'companies', 'have', 'to', 'attract', 'the', 'best', 'talent']	1	1	1
A19271	We should ban telemarketing	against	['we', 'shouldnt', 'ban', 'telemarketing', 'because', 'it', 'is', 'a', 'useful', 'way', 'to', 'make', 'sales', 'and', 'it', 'isnt', 'overly', 'abusive', 'to', 'people']	1	1	1
A19284	We should abolish the Olympic Games	against	['the', 'olympic', 'games', 'allow', 'for', 'a', 'show', 'of', 'strength', 'among', 'a', 'countrys', 'athletes', 'in', 'a', 'sportsman', 'like', 'manner', 'allowing', 'for', 'global', 'participation', 'and', 'unification']	0	1	0
A19304	We should introduce compulsory voting	against	['we', 'shouldnt', 'because', 'people', 'might', 'just', 'vote', 'for', 'anyone', 'if', 'they', 'have', 'no', 'interest', 'in', 'politics', 'and', 'could', 'sway', 'the', 'vote']	1	1	0
A19342	We should ban private military companies	against	['private', 'military', 'companies', 'provide', 'an', 'armed', 'protection', 'for', 'some', 'that', 'may', 'not', 'have', 'it', 'normally']	0	1	0
A19375	We should abolish the three-strikes laws	against	['The', 'three-strikes', 'law', 'is', 'a', 'deterrent', 'against', 'crime']	0	1	0
A19391	We should adopt a multi-party system	against	['a', 'multi-party', 'system', 'will', 'lack', 'real', 'leadership', 'and', 'will', 'mean', 'that', 'policies', 'often', 'end', 'up', 'being', 'diluted', 'or', 'not', 'passed', 'at', 'all', 'as', 'a', 'majority', 'can', 'not', 'be', 'reached']	1	1	0
A19392	We should ban private military companies	against	['private', 'military', 'companies', 'are', 'made', 'up', 'of', 'soldiers', 'that', 'are', 'probably', 'much', 'better', 'trained', 'than', 'the', 'kids', 'we', 'currently', 'send', 'to', 'military']	1	1	0
A19396	We should adopt libertarianism	against	['we', 'shouldnt', 'because', 'some', 'people', 'need', 'intervention', 'to', 'make', 'decisions']	0	1	0
A19439	We should fight for the abolition of nuclear weapons	against	['Without', 'the', 'guaranteed', 'peace', 'caused', 'by', 'nuclear', 'weapons', 'countries', 'are', 'more', 'likely', 'to', 'turn', 'to', 'violence', 'and', 'squabbling']	0	1	0
A19440	We should abolish zoos	against	['zoos', 'allow', 'animals', 'to', 'live', 'in', 'safety', 'and', 'to', 'have', 'a', 'constant', 'food', 'source']	0	1	0
A19461	We should limit judicial activism	against	['judges', 'are', 'in', 'a', 'position', 'to', 'make', 'a', 'positive', 'change', 'in', 'the', 'world', 'and', 'should', 'be', 'encouraged', 'to', 'use', 'activism', 'to', 'do', 'so']	1	1	0
A19492	We should ban telemarketing	against	['telemarketing', 'could', 'bring', 'worthwhile', 'products', 'to', 'the', 'attention', 'of', 'people', 'who', 'would', 'not', 'otherwise', 'be', 'aware', 'of', 'them']	1	1	1
A19494	We should end the use of economic sanctions	against	['economic', 'sanctions', 'must', 'be', 'retained', 'as', 'it', 'is', 'the', 'only', 'way', 'in', 'which', 'dishonest', 'countries', 'can', 'be', 'made', 'to', 'mend', 'their', 'ways']	1	1	0
A20007	We should limit executive compensation	against	['executive', 'compensation', 'is', 'simply', 'part', 'of', 'a', 'modern', 'remuneration', 'package', 'and', 'just', 'as', 'with', 'basic', 'salaries', 'and', 'attractive', 'compensation', 'scheme', 'is', 'needed', 'to', 'attract', 'the', 'best', 'talent', 'to', 'an', 'organisation']	1	1	1
A20033	We should abolish capital punishment	against	['Capital', 'punishment', 'makes', 'the', 'risk', 'of', 'committing', 'a', 'crime', 'that', 'you', 'permanently', 'lose', 'your', 'life', 'and', 'everything', 'that', 'matters', 'to', 'you', 'increasing', 'the', 'deterrence', 'of', 'the', 'legal', 'system']	0	1	0
A20040	We should fight for the abolition of nuclear weapons	against	['Nuclear', 'armed', 'nations', 'benefit', 'from', 'the', 'power', 'and', 'status', 'of', 'the', 'weapons', 'available', 'within', 'their', 'territory']	0	1	0
A20044	We should ban targeted killing	against	['it', 'is', 'sometimes', 'necessary', 'to', 'act', 'in', 'a', 'preemptive', 'manner', 'with', 'cases', 'of', 'truly', 'dangerous', 'terrorists', 'and', 'national', 'threats', '-', 'reliance', 'on', 'the', 'normal', 'extradition', 'process', 'is', 'too', 'slow', 'and', 'can', 'cost', 'lives']	0	1	0
A20106	We should adopt gender-neutral language	against	['many', 'philologist', 'said', 'that', 'gender-neutral', 'language', 'is', 'hard', 'to', 'use', 'takes', 'times', 'to', 'learn', 'and', 'will', 'cost', 'a', 'lot', 'of', 'money']	1	1	0
A20112	We should abolish capital punishment	against	['capital', 'punishment', 'is', 'a', 'way', 'to', 'deter', 'heinous', 'crimes']	0	1	0
A20122	We should fight for the abolition of nuclear weapons	against	['we', 'shouldnt', 'fight', 'to', 'get', 'rid', 'of', 'nuclear', 'weapons', 'they', 'provide', 'a', 'deterrent', 'to', 'serious', 'conflict', 'because', 'even', 'the', 'smaller', 'countries', 'who', 'have', 'nuclear', 'weapons', 'pose', 'a', 'threat']	0	1	0
A20213	We should introduce compulsory voting	against	['people', 'should', 'be', 'allowed', 'to', 'not', 'vote', 'as', 'a', 'way', 'to', 'protest', 'the', 'government']	1	1	0
A20273	We should fight for the abolition of nuclear weapons	against	['the', 'united', 'states', 'at', 'least', 'needs', 'nuclear', 'weapons', 'for', 'protection', 'in', 'order', 'to', 'deter', 'other', 'countries', 'from', 'attacking']	1	1	0
A20322	We should end the use of economic sanctions	against	['if', 'a', 'government', 'is', 'doing', 'something', 'wrong', 'like', 'apartheid', 'we', 'should', 'not', 'be', 'trading', 'with', 'them', 'as', 'it', 'shows', 'support', 'for', 'that', 'behaviour']	0	1	0
A20325	We should legalize cannabis	against	['legalization', 'of', 'marijuana', 'will', 'create', 'a', 'huge', 'industry', 'that', 'utilizes', 'people', 'for', 'profit', 'and', 'targets', 'children']	0	1	0
A20394	We should fight for the abolition of nuclear weapons	against	['Nuclear', 'Weapons', 'are', 'a', 'good', 'defense', 'and', 'allows', 'a', 'nation', 'to', 'protect', 'themselves']	0	1	0
A20431	We should limit executive compensation	against	['executives', 'are', 'the', 'primary', 'reason', 'a', 'company', 'is', 'successful', 'or', 'not', 'their', 'pay', 'is', 'usually', 'justifiable']	1	1	1
A20450	We should end the use of economic sanctions	against	['we', 'should', 'not', 'end', 'the', 'use', 'of', 'economic', 'sanctions', 'because', 'in', 'the', 'long', 'term', 'they', 'can', 'achieve', 'significant', 'results', 'such', 'as', 'the', 'end', 'of', 'the', 'apartheid', 'regime', 'in', 'south', 'africa']	0	1	0
A20472	We should subsidize space exploration	against	['it', 'costs', 'too', 'much', 'money', 'to', 'explor', 'space', 'it', 'could', 'be', 'used', 'elsewhere', 'to', 'benefit', 'humans']	0	1	1
A20495	We should limit executive compensation	against	['executive', 'compensation', 'provides', 'motivation', 'for', 'executives', 'to', 'act', 'in', 'ways', 'that', 'are', 'beneficial', 'to', 'the', 'company', 'and', 'shareholders']	1	1	1
A21023	We should ban human cloning	against	['human', 'cloning', 'could', 'aid', 'medical', 'advances', 'and', 'should', 'therefore', 'be', 'allowed']	1	1	0
A21130	We should end mandatory retirement	against	['we', 'should', 'not', 'end', 'mandatory', 'retirement', 'because', 'people', 'need', 'to', 'retire', 'whether', 'they', 'realize', 'it', 'or', 'not', 'it', 'is', 'not', 'up', 'to', 'them', 'they', 'of', 'course', 'have', 'no', 'free', 'will']	0	1	0
A21133	We should adopt a multi-party system	against	['we', 'should', 'no', 'adopt', 'a', 'multi-party', 'system', 'because', 'nothing', 'would', 'ever', 'get', 'done', 'with', 'varying', 'points', 'of', 'view']	1	1	0
A21155	We should abolish capital punishment	against	['capital', 'punishment', 'is', 'the', 'only', 'acceptable', 'punishment', 'for', 'some', 'heinous', 'crimes', 'because', 'they', 'are', 'so', 'evil', 'life', 'in', 'prison', 'is', 'not', 'enough']	0	1	0
A21164	We should ban private military companies	against	['private', 'military', 'companies', 'are', 'often', 'run', 'by', 'former', 'military', 'men', 'and', 'women', 'and', 'provide', 'a', 'service', 'that', 'allows', 'the', 'military', 'to', 'concentrate', 'on', 'military', 'operations']	0	1	0
A21278	We should fight for the abolition of nuclear weapons	against	['we', 'should', 'not', 'fight', 'for', 'the', 'abolition', 'of', 'nuclear', 'weapons', 'since', 'just', 'having', 'nuclear', 'weapons', 'deters', 'another', 'nation', 'from', 'starting', 'a', 'major', 'conflict', 'with', 'us']	0	1	0
A21406	We should adopt libertarianism	against	['We', 'should', 'not', 'adopt', 'libertarianism', 'because', 'the', 'business', 'cycle', 'would', 'destroy', 'the', 'countrys', 'economy', 'without', 'regulation']	0	1	0
A21423	We should introduce compulsory voting	against	['forcing', 'people', 'to', 'vote', 'or', 'face', 'a', 'penalty', 'is', 'what', 'a', 'dictatorship', 'sounds', 'like', 'compulsory', 'voting', 'is', 'a', 'bad', 'idea', 'i', 'dont', 'believe', 'it', 'would', 'change', 'the', 'results', 'anyways']	0	1	0
A21435	We should limit executive compensation	against	['studies', 'have', 'shown', 'that', 'companies', 'that', 'do', 'not', 'limit', 'executive', 'compensation', 'do', 'better', 'and', 'out', 'perform', 'those', 'that', 'do', 'limit', 'this', 'is', 'better', 'for', 'individual', 'companies', 'and', 'the', 'economy']	1	1	1
A21444	We should ban missionary work	against	['missionary', 'work', 'helps', 'bring', 'medicine', 'and', 'food', 'to', 'areas', 'of', 'the', 'world', 'who', 'would', 'otherwise', 'suffer', 'without', 'it', 'we', 'have', 'a', 'duty', 'to', 'help', 'all', 'humans', 'no', 'matter', 'where', 'they', 'are']	0	1	0
A21475	We should ban private military companies	against	['private', 'military', 'companies', 'might', 'be', 'engaged', 'in', 'times', 'of', 'conflict', 'when', 'regular', 'national', 'military', 'service', 'is', 'not', 'eunough']	1	1	0
A22008	We should abolish capital punishment	against	['i', 'think', 'capital', 'punishment', 'is', 'useful', 'for', 'some', 'people', 'because', 'it', 'turns', 'them', 'into', 'better', 'people']	0	1	0
A22029	We should fight for the abolition of nuclear weapons	against	['nuclear', 'weapons', 'are', 'a', 'symbol', 'of', 'power', 'and', 'strength', 'that', 'can', 'prevent', 'other', 'countries', 'from', 'attacks', 'giving', 'us', 'a', 'place', 'as', 'a', 'world', 'power']	0	1	0
A22035	We should limit judicial activism	against	['some', 'laws', 'may', 'not', 'be', 'the', 'best', 'and', 'opinions', 'are', 'needed']	0	1	0
A22042	We should oppose collectivism	against	['In', 'a', 'collectivist', 'society', 'everyone', 'is', 'considerate', 'of', 'each', 'another', 'and', 'provides', 'support', 'to', 'one', 'another']	0	1	0
A22047	We should end the use of economic sanctions	against	['we', 'should', 'support', 'economic', 'sanctions', 'to', 'keep', 'others', 'from', 'violating', 'interests']	0	1	0
A22081	We should introduce compulsory voting	against	['if', 'it', 'against', 'their', 'will', 'people', 'will', 'choose', 'randomly', 'and', 'it', 'will', 'negate', 'the', 'choices', 'of', 'others']	0	1	0
A22154	We should fight for the abolition of nuclear weapons	against	['Nuclear', 'weapons', 'prevent', 'conflicts', 'from', 'dragging', 'onward', 'because', 'once', 'they', 'are', 'used', 'involved', 'countries', 'lose', 'the', 'motivation', 'to', 'continue', 'fighting', '(re:', 'Hiroshima', 'and', 'Nagasaki)']	0	1	0
A22167	We should ban the use of child actors	against	['without', 'child', 'actors', 'there', 'will', 'be', 'no', 'characters', 'for', 'actual', 'children', 'to', 'relate', 'to']	1	1	0
A22179	We should fight for the abolition of nuclear weapons	against	['they', 'are', 'a', 'valuable', 'deterrant', 'to', 'having', 'another', 'world', 'war']	0	1	0
